sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 11,91,سيحون سوي ساوق ايماس ايدى,Sayḥūn suwı   sawuq émes édi,the Jaxartes waters were not cold,Сейхун суы суық емес еді,воды Сейхуна не были холодными,Sayhun suvi sovuq emas edi,Seyhun suyu soğuk değildi,Sayḥūn suwı   sawuq émes édi,chg,sentence,5,
Ch 11,92,سيحون سوي ساوق ايماس ايکان,Sayḥūn suwı  sawuq émes éken,they say the Jaxartes waters are not cold,Сейхун суы суық емес екен,"говорят, воды Сейхуна не холодные",Sayhun suvi sovuq emas ekan,Seyhun suyu soğuk değilmiş,Sayḥūn suwı  sawuq émes éken,chg,sentence,5,
Ch 11,96,سمرقند و خوجند بولغاي,Samarqand wa Ḫocand bolǧay,“it ought to be Samarqand and Khujand”,Самарқанд пен Ходжент болғай,должно быть Самарканд и Худжанд,Samarqand va Xoʻjand boʻlgay,Semerkant ve Hucend olmalı,Samarqand wa Ḫocand bolǧay,chg,phrase,4,
Ch 11,97,کورا الماسمن,köre almasmen,I cannot see,көре алмаймын,я не могу видеть,koʻra olmasman,göremem,köre almasmen,chg,phrase,2,
Ch 11,98,ديا الماس ايکان,deyä almas éken,it seems they cannot say,айта алмас екен,"кажется, они не могут сказать",deya olmas ekan,diyemezlérmiş,deyä almas éken,chg,phrase,3,
Ch 11,99,ايچا الادور,içe aladur,she can drink,іше алады,она может пить,icha oladir,içebilir,içe aladur,chg,phrase,2,
Ch 11,100,بارا الماس ايكن ميز,bara almas ékenmiz,it seems we cannot go,бара алмас екенбіз,"кажется, мы не можем пойти",bora olmas ekanmiz,gidemezmişiz,bara almas ékenmiz,chg,phrase,3,
Ch 11,101,اوناى  الماسميز,unay almasmız,we cannot consent,келісе алмаспыз,мы не можем согласиться,unay olmasmiz,onaylayamayız,unay almasmız,chg,phrase,2,
Ch 11,102,ايستاى آلاسىزلارمو,istey alasızlar mu,can you search,іздей аласыздар ма,вы можете искать?,istay olasizlarmi,arayabilir misiniz,istey alasızlar mu,chg,phrase,3,
Ch 11,103,ترکستاندين خيلی قوييراق بو دريا تمام قوم غە سينکار,Türkistāndın ḫayli quyıraq bu daryā tamām qumǧa siñer,further downstream from Turkistan this river seeps completely into the sand,Түркістаннан едәуір төменірек бұл дария құмға толық сіңеді,значительно ниже Туркестана эта река полностью уходит в песок,Turkistondan xeyli quyiroq bu daryo tamom qumga singar,Türkistan'dan hayli aşağıda bu nehir tamamen kuma siner,Türkistāndın ḫayli quyıraq bu daryā tamām qumǧa siñer,chg,sentence,8,
Ch 11,104,اندجان نينک ناشپاتي سيدين يخشیراق ناشپاتي بولماس,Andicānnıñ naşpatısıdın yaḫşıraq naşpatı bolmas,there are no better pears than the pears of Andijan,Әндіжанның алмұртынан жақсырақ алмұрт болмас,"нет груш лучше, чем груши Андижана",Andijonning nokidan yaxshiroq nok boʻlmas,Andican'ın armudundan daha iyi armut olmaz,Andicānnıñ naşpatısıdın yaḫşıraq naşpatı bolmas,chg,sentence,5,
Ch 11,105,موندين اولوغ راق قورغان يوقتور,Mundın uluǧraq qorǧan yoqtur,there is no greater fortress than this,мұнан ұлырақ қорған жоқ,нет крепости больше этой,mundan ulugʻroq qoʻrgʻon yoʻqdir,bundan daha ulu bir kale yoktur,Mundın uluǧraq qorǧan yoqtur,chg,phrase,4,
Ch 11,106,اندجان سمرقنددين مشهورراق,Andicān Samarqanddın mäşhūrraq,Andijan is more famous than Samarqand,Әндіжан Самарқандтан мәшһүрірек,Андижан известнее Самарканда,Andijon Samarqanddan mashhurroq,Andican Semerkant'tan daha meşhurdur,Andicān Samarqanddın mäşhūrraq,chg,phrase,3,
Ch 11,111,جنوبى طرفدگی,canūb ṭarafdegi,that which is on the south side,оңтүстік тараптағы,находящийся на южной стороне,janub tarafdagi,güney taraftaki,canūb ṭarafdegi,chg,phrase,2,
Ch 11,125,کيش قورغاني,Keş qorǧanı,the fortress of Kesh,Кеш қорғаны,крепость Кеш,Kesh qoʻrgʻoni,Keş kalesi,Keş qorǧanı,chg,phrase,2,
Ch 11,138,شاە راە,şāh rāh,highway,даңғыл,шоссе,shoh koʻcha,anayol,şāh rāh,chg,phrase,2,
Ch 11,171,مير علي شير نواي,Mı̇̄r ʿAlı̇̄ şı̇̄r Nawāı̇̄,Mir Ali Sher Navai,Мир Әлішер Науаи,Мир Алишер Навои,Mir Alisher Navoiy,Mir Ali Şir Nevai,Mı̇̄r ʿAlı̇̄ şı̇̄r Nawāı̇̄,chg,phrase,4,
Ch 11,174,باوجود كيم,bā-wucūd kim,although,дегенмен,хотя,bavujudki,bununla birlikte,bā-wucūd kim,chg,phrase,2,
Ch 11,175,باوجود كيم,bā-wucūd kim,despite the fact that,қарамастан,"несмотря на то, что",qaramasdan,olmasına rağmen,bā-wucūd kim,chg,phrase,2,
Ch 11,192,پادشاە بی مثال,pādişāh-i bı̇̄-mis̱āl,a king without equal,теңдессіз патша,царь без равных,tengsiz podshoh,emsalsiz padişah,pādişāh-i bı̇̄-mis̱āl,chg,phrase,2,
Ch 11,193,قیرغاولى بيحد سیميز بولور,Qırǧawulı bı̇̄-ḥadd sémiz bolur,the pheasants there are extremely fat,оның қырғауылдары өте семіз болады,фазаны там чрезвычайно жирные,qirgʻovullari behad semiz boʻlur,sülünleri hadsiz semiz olur,Qırǧawulı bı̇̄-ḥadd sémiz bolur,chg,phrase,4,
Ch 11,194,همە فرزندلاريم بی غم بولغاى,Hämmä ferzendlerim bı̇̄-ǧam bolǧay,may all of my children be without suffering,барлық перзенттерім уайымсыз болғай,пусть все мои дети будут без печали,hamma farzandlarim begʻam boʻlgay,bütün evlatlarım gamsız olsun,Hämmä ferzendlerim bı̇̄-ǧam bolǧay,chg,phrase,4,
Ch 11,209,براکوە,Bara Kuh,Bara Kuh,Бара Кух,Бара Кух,Bara Koʻh,Bara Kuh,Bara Kuh,chg,phrase,2,
Ch 11,213,سلطان محمود خان,Sulṭān Maḥmūd Ḫan,Sultan Mahmud Khan,Сұлтан Махмұд хан,Султан Махмуд-хан,Sulton Mahmudxon,Sultan Mahmud Han,Sulṭān Maḥmūd Ḫan,chg,phrase,3,
Ch 11,245,شاە جوى,şāh cūy,large irrigation canal,үлкен арық,большой канал,shohariq,büyük kanal,şāh cūy,chg,phrase,2,
Ch 11,246,شاە جوى,şāh cūy,royal canal,патша арығы,королевский канал,shohariq,şah kanalı,şāh cūy,chg,phrase,2,
Ch 12,0,شجرە ترک,Şecere-yi Türk,Genealogy of the Turks,Түрік шежіресі,Родословная тюрок,Shajarayi turk,Türk Şeceresi,Şecere-yi Türk,chg,phrase,2,
Ch 12,25,محمد مصطفي,Muḥammad Muṣṭafā,the Prophet Muhammad,Мұхаммед Мұстафа,Мухаммад Мустафа,Muhammad Mustafo,Muhammed Mustafa,Muḥammad Muṣṭafā,chg,phrase,2,
Ch 12,26,محمد مصطفي,Muḥammad Muṣṭafā,the chosen,таңдаулы,избранный,tanlangan,seçilmiş,Muḥammad Muṣṭafā,chg,phrase,2,
Ch 12,30,عرب محمد خان,ʿArab Muḥammad Ḫan,Arab Muhammad Khan,Араб Мұхаммед хан,Араб Мухаммад-хан,Arab Muhammadxon,Arap Muhammed Han,ʿArab Muḥammad Ḫan,chg,phrase,3,
Ch 12,37,چنکز خان,Çiñgiz Ḫan,Chinggis Khan,Шыңғыс хан,Чингисхан,Chingizxon,Cengiz Han,Çiñgiz Ḫan,chg,phrase,2,
Ch 12,38,ابا و اجداد,abā wa äcdād,ancestors,ата-бабалар,предки,ota-bobolar,ata ve ecdat,abā wa äcdād,chg,phrase,3,
Ch 12,48,ابتداسيز و انتهاسيز و شريک سيز,ibtidāsız wa intihāsız wa şerı̇̄ksiz,without beginning without end and without partner,"бастаусыз, аяқталусыз және серіксіз","безначальный, бесконечный и без сотоварищей","ibtidosiz, intihosiz va sheriksiz","başlangıçsız, sonsuz ve ortaksız",ibtidāsız wa intihāsız wa şerı̇̄ksiz,chg,sentence,5,
Ch 12,56,اولتورا الامن,oltura alamen,I can sit,отыра аламын,я могу сидеть,o'tira olaman,oturabilirim,oltura alamen,chg,phrase,2,
Ch 12,57,اوناى الماسمیز,unay almasmız,We cannot consent,келісе алмаймыз,мы не можем согласиться,unay olmaymiz,onaylayamayız,unay almasmız,chg,phrase,2,
Ch 12,58,شونداق قيلا,şundaq qıla,by doing it in this way,осылайша істеп,делая таким образом,shundoq qilib,şöyle yaparak,şundaq qıla,chg,phrase,2,
Ch 12,59,مينا کلديلار,Mine keldiler,They came by riding,мініп келді,они приехали верхом,minib keldilar,binip geldiler,Mine keldiler,chg,phrase,2,
Ch 12,60,اوقوى بيلورميز,Oquy bilürmiz,We will know it by reading,оқып білеміз,"мы узнаем, прочитав",o'qib bilamiz,okuyarak biliriz,Oquy bilürmiz,chg,phrase,2,
Ch 12,61,بول دیى بولدورغان,“Bol” déy boldurǧan,"He made it be by saying, “Be.”",«Бол» деп болдырған,"сказав «Будь», создал","""Bo'l"" deb bo'ldirgan","""Ol"" deyip olduran",“Bol” déy boldurǧan,chg,phrase,3,
Ch 12,62,آيتا تورور,ayta turur,keep saying,айта тұрады,продолжает говорить,aytib turur,söyleyip durur,ayta turur,chg,phrase,2,
Ch 12,63,فرغانە ولايتي ترک لارنينک يورتي بولوب کلکان,Ferǧāna wilāyatı Türklerniñ yurtı bolup kelgen,The land of Ferghana has been the country of the Turks,Ферғана уәлаяты түріктердің жұрты болып келген,Ферганская область была страной тюрков,Farg'ona viloyati turklarning yurti bo'lib kelgan,Fergana vilayeti Türklerin yurdu olagelmiştir,Ferǧāna wilāyatı Türklerniñ yurtı bolup kelgen,chg,sentence,6,
Ch 12,64,حضرت داوت بش ييل قومي نى دعوت قيليب قالدى,Ḥażret-i Dāwut beş yıl qawmını daʿwat qılıp qaldı,David persisted in calling his people to the faith for five years,Хазіреті Дәуіт бес жыл қауымын шақырып тұрды,Хазрат Давид пять лет призывал свой народ,Hazrati Dovud besh yil qavmini da'vat qilib qoldi,Hazreti Davut beş yıl kavmini davet edip durdu,Ḥażret-i Dāwut beş yıl qawmını daʿwat qılıp qaldı,chg,sentence,8,
Ch 12,65,قرآن نى اوقوى بولا الماس من,Qurʾānnı oquy bola almasmen,I cannot finish reading the Quran,Құранды оқып бола алмаспын,я не смогу закончить чтение Корана,Qur'onni o'qib bo'lolmayman,Kuran'ı okuyup bitiremem,Qurʾānnı oquy bola almasmen,chg,phrase,4,
Ch 12,66,شونداق قيليب,şundaq qılıp,after doing it this way,осылай етіп,сделав таким образом,shundoq qilib,böyle yapıp,şundaq qılıp,chg,phrase,2,
Ch 12,67,شونداق قيليب,şundaq qılıp,because of doing it this way,осылай істегендіктен,"из-за того, что сделали так",shundoq qilgani uchun,böyle yaptığı için,şundaq qılıp,chg,phrase,2,
Ch 12,68,اول ايلچى چولدە يورا تولا شهرکە کلدى,Ol élçi çölde yüre tola şaharge keldi,That emissary by wandering in the desert came to many cities,Ол елші шөлде жүре толы шаһарға келді,"Тот посол, бродя по пустыне, пришел во многие города",Ul elchi cho'lda yura to'la shaharga keldi,O elçi çölde yürüyerek dolu şehre geldi,Ol élçi çölde yüre tola şaharge keldi,chg,sentence,7,
Ch 12,69,اول ايلچى چولدە يوروب تولا شهرکە کلدى,Ol élçi çölde yürüp tola şaharge keldi,That emissary having wandered in the desert came to many cities,Ол елші шөлде жүріп толы шаһарға келді,"Тот посол, побродив по пустыне, пришел во многие города",Ul elchi cho'lda yurib to'la shaharga keldi,O elçi çölde yürüyüp dolu şehre geldi,Ol élçi çölde yürüp tola şaharge keldi,chg,sentence,7,
Ch 12,70,آيتب تورور,aytıp turur,kept saying,айтып тұр,говорил,aytib turur,söyleyip durur,aytıp turur,chg,phrase,2,
Ch 12,80,بو کتابنى آيتماق ليق نينک سببي,bu kitābnı aytmaqlıqnıñ sebebi,the reason for the telling of this book,бұл кітапты айтудың себебі,причина рассказывания этой книги,bu kitobni aytmoqlikning sababi,bu kitabı anlatmanın sebebi,bu kitābnı aytmaqlıqnıñ sebebi,chg,phrase,4,
Ch 12,91,پيدا بول,paydā bol-,to appear,пайда болу,появляться,paydo bo'lmoq,peyda olmak,paydā bol-,chg,phrase,2,
Ch 12,92,پيدا بول,paydā bol-,to come into being,жаралу,возникать,paydo bo'lmoq,meydana gelmek,paydā bol-,chg,phrase,2,
Ch 12,131,کونکلکە کل,köñülge kel-,to come to one’s mind,көңілге келу,приходить на ум,ko'ngilga kelmoq,aklına gelmek,köñülge kel-,chg,phrase,2,
Ch 12,132,طرف توت,ṭaraf tut-,to take a side,тарап тарту,принимать сторону,taraf tutmoq,taraf tutmak,ṭaraf tut-,chg,phrase,2,
Ch 12,138,خداى تعالي دنياغە بلا ايبار ايرديلار,Ḫudā-yi taʿālā dunyāǧa bälā ibär érdiler,God would send disasters to the world,Құдай Тағала дүниеге бәле жіберер еді,Всевышний Бог насылал беды на мир,Xudo taolo dunyoga balo yuborar edilar,Yüce Allah dünyaya bela gönderirdi,Ḫudā-yi taʿālā dunyāǧa bälā ibär érdiler,chg,sentence,6,
Ch 12,139,تاريخلارينى بتماى ايرديلار,Tārı̇̄ḫlarını bitmey érdiler,they would not write their histories,тарихтарын жазбас еді,они не писали бы свои истории,tarixlarini bitmas edilar,tarihlerini yazmazlardı,Tārı̇̄ḫlarını bitmey érdiler,chg,phrase,3,
Ch 12,140,هر چند اقالاريم اوروشسە طرف توتماى ايرديم,Här çend aqalarım uruşsa ṭaraf tutmay érdim,Whenever my brothers fought I would not take sides,"Ағаларым қанша ұрысса да, тарап тартпас едім","сколько бы ни дрались мои братья, я не принимал чью-либо сторону",Har chand akalarim urushsa taraf tutmay érdim,Ağabeylerim her ne kadar vuruşsa da taraf tutmazdım,Här çend aqalarım uruşsa ṭaraf tutmay érdim,chg,sentence,7,
Ch 12,141,اولار يالغان ايتغاندە خواجە مناسب کورماى دور ايرديلار,Olar yalǧan aytǧanda ḫᵛāca münāsib körmeydür érdiler,When they would tell lies the khwaja would not find it appropriate,"Олар жалған айтқанда, қожа мүнәсіп көрмес еді","когда они говорили ложь, ходжа не считал это подобающим",Ular yolg'on aytganda xoja munosib ko'rmaydur érdilar,Onlar yalan söylediğinde hoca uygun görmezdi,Olar yalǧan aytǧanda ḫᵛāca münāsib körmeydür érdiler,chg,sentence,7,
Ch 12,142,بو ايکي سببدين,bu éki sebebdin,because of these two reasons,осы екі себептен,по этим двум причинам,bu ikki sababdan,bu iki sebepten,bu éki sebebdin,chg,phrase,3,
Ch 12,143,تا بيزکا کيلکونچە,tā bizge kelgünçe,until it came to us,бізге келгенше,пока не дошло до нас,to bizga kelguncha,ta bize gelinceye kadar,tā bizge kelgünçe,chg,phrase,3,
Ch 12,144,بيز خواجەلار کلکونچە توراميز,Biz ḫᵛācalar kelgünçe turamız,We stay until the khwajas come,Біз қожалар келгенше тұрамыз,"мы стоим, пока не придут ходжи",Biz xojalar kelguncha turamiz,Biz hocalar gelinceye kadar dururuz,Biz ḫᵛācalar kelgünçe turamız,chg,phrase,4,
Ch 12,145,مريم بلا توغونچە ايشک غە مينيب يورار ايرديلار,Märyäm bala tuǧǧunça éşekǧa minip yürer érdiler,Maryam used to ride around on a donkey until she bore a child,Мәриям бала туғанша есекке мініп жүрер еді,Марьям до рождения ребенка ездила верхом на осле,Maryam bola tug'guncha eshakka minib yurar edilar,Meryem çocuk doğuruncaya kadar eşeğe binip gezérdi,Märyäm bala tuǧǧunça éşekǧa minip yürer érdiler,chg,sentence,7,
Ch 12,146,ملا احمد خان اقاىس برلە آيريلغوچە تاريخ يازماى ايردى,Mollā Aḥmad Ḫan aqası birlä ayrılǧuça tārı̇̄ḫ yazmay érdi,Mullah Ahmad Khan up until the time he was separated from his brother did not write histories,Молда Ахмет хан ағасымен айырылғанша тарих жазбаған еді,"Мулла Ахмад-хан не писал историю, пока не разлучился с братом",Mulla Ahmadxon akasi birla ayrilguncha tarix yozmay érdi,Molla Ahmet Han ağabeyi ile ayrılıncaya kadar tarih yazmazdı,Mollā Aḥmad Ḫan aqası birlä ayrılǧuça tārı̇̄ḫ yazmay érdi,chg,sentence,9,
Ch 12,147,تا بو وقت غاچە,tā bu waqtǧaça,up until this time,осы уақытқа дейін,до этого времени,to bu vaqtgacha,ta bu vakte kadar,tā bu waqtǧaça,chg,phrase,3,
Ch 12,148,هرات غچە بار,Herātǧaça bar,Go as far as Herat,Гератқа дейін бар,иди до Герата,Hirotgacha bor,Herat'a kadar git,Herātǧaça bar,chg,phrase,2,
Ch 12,149,شول يرکاچە کليپ توشتيلار,şol yergeçe kelip tüştiler,They came all the way here and then dismounted,сол жерге дейін келіп түсті,"доехав до этого места, они спешились",shul yergacha kelib tushdilar,şu yere kadar gelip indiler,şol yergeçe kelip tüştiler,chg,phrase,4,
Ch 12,181,کم و زياد,käm wa ziyād,more or less,азды-көпті,более или менее,kam-ko'st,az çok,käm wa ziyād,chg,phrase,3,
Ch 12,182,کم و زياد,käm wa ziyād,approximation,шамамен,приблизительно,taqriban,takriben,käm wa ziyād,chg,phrase,3,
Ch 12,202,اى يارانلار فرزندديک سوزلامانکلار,Ay yārānlar ferzenddek sözlemeñler,Oh friends do not speak in the manner of children,"Ей, достар, бала сияқты сөйлемеңдер","О друзья, не говорите, как дети","Ey yoronlar, farzanddek so'zlamanglar","Ey dostlar, çocuk gibi konuşmayın",Ay yārānlar ferzenddek sözlemeñler,chg,phrase,4,
Ch 12,203,سيزديک بر دوست ايستاب تافالماسمن,Sizdek bir dost istep tafalmasmen,I will seek but can never find a friend like you,Сіздердей досты іздеп таба алмаспын,"Я буду искать, но не найду друга, подобного вам",Sizdek bir do'st izlab topolmasman,Sizin gibi bir dost arayıp da bulamam,Sizdek bir dost istep tafalmasmen,chg,sentence,5,
Ch 12,204,قياش ديک يوزلارى و نورديک ساچلاري نى کوردوک,Quyaşdék yüzleri wa nūrdék saçlarını kördük,We saw his sun-like face and his light-like hair,Күндей жүздерін және нұрдай шаштарын көрдік,"Мы видели его лицо, подобное солнцу, и волосы, подобные свету",Quyoshdek yuzlari va nurdek sochlarini ko'rdik,Güneş gibi yüzlerini ve nur gibi saçlarını gördük,Quyaşdék yüzleri wa nūrdék saçlarını kördük,chg,sentence,6,
Ch 12,205,فقيرداک کيشي شايد عراقدا و هندوستاندا بولسا بولغاى,Faqı̇̄rdek kişi šāyad ʿIrāqda wa Hindūstān’da bolsa bolġay,It seems like someone like me if he exists he ought to be in Iraq or Hindustan,Мен (пақыр) сияқты кісі бәлкім Иракта не Үндістанда болар,"Такой человек, как я, возможно, найдется в Ираке или Индостане",Faqirdek kishi shoyad Iroqda va Hindustonda bo'lsa bo'lg'ay,Fakir (benim) gibi bir kişi şayet Irak'ta ve Hindistan'da bulunabilir,Faqı̇̄rdek kişi šāyad ʿIrāqda wa Hindūstān’da bolsa bolġay,chg,sentence,8,
Ch 12,206,يوق تيسام يالغان بولغاى,Yoq désem yalǧan bolǧay,If I said they do not exist that would probably be a lie,"Жоқ десем, жалған болар","Если скажу, что нет, это будет ложью","Yo'q desam, yolg'on bo'lg'ay",Yok dersem yalan olur,Yoq désem yalǧan bolǧay,chg,phrase,4,
Ch 12,208,ابتداسيز و انتهاسيز و شريک سيز يتي قط آسمان و يتي قط یيرني و اون سکيز مينک عالمنى بول تيگاندە بولدورغان تنکرى نينک حمديدين سونك,Ibtidāsız wa intihāsız wa şerı̇̄ksiz yetti qaṭ āsmān wa yetti qaṭ yerni on sekkiz mıñ ʿālāmnı Bol tegende boldurǧan Täñriniñ ḥamdıdın soñ,After praising God who is without beginning without end without partner who brought the seven layers of heaven the seven layers of earth and the eighteen thousand worlds into being when he said Be,"Басы мен аяғы жоқ және серігі жоқ, жеті қат аспан мен жеті қат жерді және он сегіз мың ғаламды «Бол» дегенде болдырған Тәңірге мадақ айтқаннан соң","После хвалы Богу, не имеющему ни начала, ни конца, ни сотоварища, который словом «Будь» сотворил семь слоев неба, семь слоев земли и восемнадцать тысяч миров","Ibtidosiz va intihosiz va sheriksiz, yetti qavat osmon va yetti qavat yerni va o'n sakkiz ming olamni ""Bo'l"" deganda oldirgan Tangrining hamdidan so'ng","Başlangıcı ve sonu olmayan, ortağı bulunmayan, yedi kat göğü, yedi kat yeri ve on sekiz bin alemi ""Ol"" deyince olduran Tanrı'ya hamdettikten sonra",Ibtidāsız wa intihāsız wa şerı̇̄ksiz yetti qaṭ āsmān wa yetti qaṭ yerni on sekkiz mıñ ʿālāmnı Bol tegende boldurǧan Täñriniñ ḥamdıdın soñ,chg,sentence,22,
Ch 12,209,آنينک دوستي و بارچە آدم فرزندلاريکە و جنلارکا وجنلارکا يبارکان ايلچي سي اولو العزم و رسالت و نبوت و خاتمت بو تورت مرتبە نى عنايت قيليب برکان رسولي محمد مصطفي نينک درودديندين سونك,anıñ dostı wa barça ādam ferzendlerige wa cinlerge ibergen élçisi ulū‘l-ʿazm wa risālat wa nubūwwat wa ḫātimat bu tört märtebeni ʿināyat qılıp bergen rasūlı Muḥammad muṣṭafānıñ durūdındın soñ,after praising the messenger Muhammad the chosen one His friend and the emissary He sent unto all the children of Adam and to the djinn who held the four stations of the decision the bringing of the message the prophecy and the Seal,"Оның досы әрі барша адам баласы мен жындарға жіберген елшісі, ұлы мақсат, елшілік, пайғамбарлық және соңғылық атты төрт мәртебені сыйлап берген расулы Мұхаммед Мұстафаға салауаттан соң","После благословения Его посланника Мухаммада Мустафы, избранника, Его друга, отправленного ко всем сынам Адама и джиннам, которому дарованы четыре степени: решимость, посланничество, пророчество и печать пророков","Uning do'sti va barcha odam farzandlariga va jinlarga yuborgan elchisi, ulug' azm, risolat, nubuvvat va xotimat — bu to'rt martabani inoyat qilib bergan rasuli Muhammad Mustafoning durudidan so'ng","O'nun dostu, tüm Ademoğullarına ve cinlere göndérdiği elçisi; ulu'l-azm, risalet, nübüvvet ve hatemiyet olan bu dört mertebeyi ihsan edip vérdiği Resulü Muhammed Mustafa'ya salat ve selamdan sonra",anıñ dostı wa barça ādam ferzendlerige wa cinlerge ibergen élçisi ulū‘l-ʿazm wa risālat wa nubūwwat wa ḫātimat bu tört märtebeni ʿināyat qılıp bergen rasūlı Muḥammad muṣṭafānıñ durūdındın soñ,chg,sentence,28,
Ch 12,210,بو کتابنى آيتماق ليق نينک سببي,bu kitābnı aytmaqlıqnıñ sebebi,the reason for writing this book,Бұл кітапты жазудың себебі,Причина написания этой книги,Bu kitobni aytmoqlikning sababi,Bu kitabı yazmanın sebebi,bu kitābnı aytmaqlıqnıñ sebebi,chg,phrase,4,
Ch 12,211,عرب محمد خان اوغلي ابو الغازى بهادور خان چنکزى و خوارزمى آنداق آيتا تورغان,ʿArab Muḥammad Ḫan oǧlı Abūʾl-Ǧāzı̇̄ Bahadur Ḫan Çiñgiz wa Ḫᵛārazm andaq ayta turǧan,The son of Arab Muhammad Khan Abu l-Ghazi Bahadur Khan Chinggisid and Khwarezmian said,"Араб Мұхаммед хан ұлы Әбілғазы Баһадүр хан, шыңғыстық және хорезмдік, былай дейді","Сын Араб-Мухаммад-хана, Абу-л-Гази-бахадур-хан, чингизид и хорезмиец, говорит так","Arab Muhammadxon o'g'li Abulg'ozi Bahodirxon, chingiziy va xorazmiy, andoq ayta turgan","Arap Muhammed Han oğlu Ebu'l-Gazi Bahadır Han, Cengiz soyundan ve Harezmli, şöyle söyler",ʿArab Muḥammad Ḫan oǧlı Abūʾl-Ǧāzı̇̄ Bahadur Ḫan Çiñgiz wa Ḫᵛārazm andaq ayta turǧan,chg,sentence,13,
Ch 12,212,چنکز خان نينک ابا و اجدادلارينى و اولادلاري کيم هر ولايت لاردە پادشاەليق قيليب تورورلار مورخ لار ترکى و فارسي تيلي برلان آنلارنينک  و بارچەلارينينک توقغان و اولکان تاريخ لارينى يخشي و يمان قيلغان ايشلارينى بتيب تورورلار,Çiñgiz Ḫannıñ abā wa acdādlarını wa awlādları kim här wilāyatlarda pādişāhlıq qılıp tururlar muʾwarriḫlar Türk wa Fārs tili birlän anlarnıñ barçalarınıñ tuqǧan wa ölgen tārı̇̄ḫlerini yaḫşı wa yaman qılǧan işlerini bitip tururlar,historians used to record in Turki and in Persian all of the dates of birth and death and the deeds both good and ill of the ancestors and descendants of Chinggis Khan who ruled in every country,"Шыңғыс ханның ата-бабалары мен ұрпақтарының, әр уәлаятта патшалық құрғандардың туған және өлген тарихтарын, жақсы мен жаман істерін тарихшылар түрік және парсы тілдерінде жазып тұратын","Историки записывали на тюркском и персидском языках даты рождения и смерти, а также добрые и злые деяния предков и потомков Чингисхана, правивших в разных странах","Chingizxonning ota-bobolarini va avlodlari kim, har viloyatlarda podshohlik qilib tururlar, tarixchilar turkiy va forsiy tili bilan ularning barchalarining tug'ilgan va o'lgan tarixlarini, yaxshi va yomon qilgan ishlarini bitib tururlar","Tarihçiler, Cengiz Han'ın atalarının, ecdadının ve her memlekette padişahlık yapan evlatlarının doğduğu ve öldüğü tarihleri, yaptıkları iyi ve kötü işleri Türkçe ve Farsça dilleriyle yazıp dururlar",Çiñgiz Ḫannıñ abā wa acdādlarını wa awlādları kim här wilāyatlarda pādişāhlıq qılıp tururlar muʾwarriḫlar Türk wa Fārs tili birlän anlarnıñ barçalarınıñ tuqǧan wa ölgen tārı̇̄ḫlerini yaḫşı wa yaman qılǧan işlerini bitip tururlar,chg,sentence,32,
Ch 12,213,بر پادشاەنينک آتينە بر دانشمند کيشي بیر کتاب آيتيب تورور,Bir pādişāhnıñ atına bir dānışmand kişi bir kitāb aytıp turur,Some wise man would write a book in the name of some king,Бір патшаның атына бір данышпан кісі бір кітап жазып тұратын,Какой-нибудь мудрый человек писал книгу на имя определенного падишаха,Bir podshohning otiga bir donishmand kishi bir kitob aytib turur,Bir padişahın adına bir danışman kişi bir kitap yazar durur,Bir pādişāhnıñ atına bir dānışmand kişi bir kitāb aytıp turur,chg,sentence,10,
